"Add to Cart","Comprar"
"Price", "Preço"
"Categories", "Categorias"
"Now Shopping by", "Filtrando Por:"
"Estimate Shipping and Tax", "Calcular Frete:"
"Buy Together", "Compre Junto"
"Check items to add to the cart or", "Você pode adicionar um a um ou"
"select all", "selecionar todos"
"unselect all", "remover todas as seleções"
"Related Products", "Compre Junto"
"We found other products you might like!", "Encontramos outros produtos de que você pode gostar!"
"More Choices:", "Produtos que você pode gostar:"
"Street Address 1", "Número"
"Street Address 2", "Complemento"
"Street Address 3", "Bairro"
"Endereço 2", "Número"
"Endereço 3", "Complemento"
"Endereço 4", "Bairro"
"Cart Subtotal","Subtotal"
"%1 items","%1 itens"
"1 item","1 item"
"%1 Item","%1 Item"
"item","item"
"Place Order", "Finalizar Compra"
"Account Information","Informações da Conta"
"Order Placed by Store Administrator", "Pedido feito pelo administrador da loja"
"Payment Method", "Forma de Pagamento"
"Tax/VAT Number", "CNPJ"
"Fantasy Name", "Nome fantasia"
"State Registration", "Estado Registrado"